,City Number,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,3139597,Sistranda,63.7256,8.834,55.99,100,75,5.82,NO,1595823246
1,6201424,Mataura,-46.1927,168.8643,50.47,62,0,1.14,NZ,1595819783
2,1507390,Dikson,73.5069,80.5464,38.44,87,96,14.05,RU,1595822999
3,3451138,Rio Grande,-32.035,-52.0986,46.0,96,35,9.66,BR,1595823277
4,2082539,Merauke,-8.4667,140.3333,81.45,75,57,19.66,ID,1595823063
5,6185377,Yellowknife,62.456,-114.3525,69.8,52,75,10.29,CA,1595819783
6,4030556,Rikitea,-23.1203,-134.9692,70.5,78,4,19.6,PF,1595823313
7,3361934,Saldanha,-33.0117,17.9442,44.6,81,0,6.93,ZA,1595823269
8,155016,Malinyi,-8.9333,36.1333,66.83,77,92,2.08,TZ,1595822946
9,758651,Sokółka,53.4072,23.5023,64.0,93,13,1.99,PL,1595822972
10,2514651,Los Llanos de Aridane,28.6585,-17.9182,71.6,73,90,12.75,ES,1595823085
11,1272446,Dohrighāt,26.2644,83.5164,87.8,100,75,3.36,IN,1595822993
12,3883457,Lebu,-37.6167,-73.65,47.66,82,62,7.67,CL,1595823305
13,1258269,Rāzole,16.4833,81.8333,90.64,57,76,7.67,IN,1595822983
14,4032243,Vaini,-21.2,-175.2,73.4,78,40,11.41,TO,1595823313
15,3366880,Hermanus,-34.4187,19.2345,46.0,85,1,1.99,ZA,1595823269
16,3141667,Roald,62.5833,6.1333,59.0,77,100,5.82,NO,1595823246
17,5106841,Albany County,42.6001,-73.9662,78.01,59,93,4.45,US,1595823356
18,3831208,Qaanaaq,77.484,-69.3632,39.99,71,0,0.54,GL,1595823298
19,2092164,Lorengau,-2.0226,147.2712,83.62,77,44,5.7,PG,1595823063
20,592200,Haljala,59.4336,26.2614,56.55,81,50,6.49,EE,1595822963
21,1006984,East London,-33.0153,27.9116,55.4,66,40,9.17,ZA,1595822975
22,3833367,Ushuaia,-54.8,-68.3,33.8,86,75,17.22,AR,1595823298
23,1788852,Xining,36.6167,101.7667,74.5,32,100,5.88,CN,1595823037
24,3372707,Ribeira Grande,38.5167,-28.7,73.06,91,12,4.97,PT,1595823272
25,2136825,Isangel,-19.55,169.2667,84.2,66,40,13.87,VU,1595823064
26,2075265,Busselton,-33.65,115.3333,69.01,75,93,8.01,AU,1595823063
27,1635164,Mlonggo,-6.5333,110.7,86.0,48,20,4.7,ID,1595823011
28,3405924,Beberibe,-4.1797,-38.1306,75.2,78,40,12.75,BR,1595823272
29,3382160,Cayenne,4.9333,-52.3333,75.2,100,30,3.36,GF,1595823272
30,1651591,Amahai,-3.3333,128.9167,80.22,80,98,11.63,ID,1595823012
31,3430443,Necochea,-38.5473,-58.7368,46.99,80,86,5.99,AR,1595823273
32,4020109,Atuona,-9.8,-139.0333,80.42,71,5,24.61,PF,1595823313
